x0000,y0000
757,-0.0001663970947,
758,-0.0001663970947,
759,-0.0001663970947,
760,-0.0001663970947,
761,-0.0001663970947,
762,-0.0001663970947,
763,-0.0001663970947,
764,-0.0001663970947,
765,-0.0001663970947,
766,-0.0001663970947,
767,-0.0001663970947,
768,-9.132385254e-05,
769,-9.132385254e-05,
770,-9.132385254e-05,
771,-9.132385254e-05,
772,-9.132385254e-05,
773,-9.132385254e-05,
774,-9.132385254e-05,
775,-9.132385254e-05,
776,-9.132385254e-05,
777,-9.132385254e-05,
778,-9.132385254e-05,
779,-9.132385254e-05,
780,-9.132385254e-05,
781,-0.0001105499268,
782,-0.0001105499268,
783,-0.0001105499268,
784,-0.0001105499268,
785,-0.0001105499268,
786,-0.0001105499268,
787,-0.0001105499268,
788,-0.0001105499268,
789,-0.0001105499268,
790,-0.0001105499268,
791,-0.0001105499268,
792,-0.0001105499268,
793,-0.0001105499268,
794,-0.0001093292236,
795,-0.0001093292236,
796,-0.0001093292236,
797,-0.0001093292236,
798,-0.0001093292236,
799,-0.0001093292236,
800,-0.0001093292236,
801,-0.0001093292236,
802,-0.0001093292236,
803,-0.0001093292236,
804,-0.0001093292236,
805,-0.0001093292236,
806,-0.0001093292236,
807,-0.0001252746582,
808,-0.0001252746582,
809,-0.0001252746582,
810,-0.0001252746582,
811,-0.0001252746582,
812,-0.0001252746582,
813,-0.0001252746582,
814,-0.0001252746582,
815,-0.0001252746582,
816,-0.0001252746582,
817,-0.0001252746582,
818,-0.0001252746582,
819,-0.0001252746582,
820,-0.0001295471191,
821,-0.0001295471191,
822,-0.0001295471191,
823,-0.0001295471191,
824,-0.0001295471191,
825,-0.0001295471191,
826,-0.0001295471191,
827,-0.0001295471191,
828,-0.0001295471191,
829,-0.0001295471191,
830,-0.0001295471191,
831,-0.0001295471191,
832,-0.0001295471191,
833,-0.0001232147217,
834,-0.0001232147217,
835,-0.0001232147217,
836,-0.0001232147217,
837,-0.0001232147217,
838,-0.0001232147217,
839,-0.0001232147217,
840,-0.0001232147217,
841,-0.0001232147217,
842,-0.0001232147217,
843,-0.0001232147217,
844,-0.0001232147217,
845,-0.0001232147217,
846,-9.990692139e-05,
847,-9.990692139e-05,
848,-9.990692139e-05,
849,-9.990692139e-05,
850,-9.990692139e-05,
851,-9.990692139e-05,
852,-9.990692139e-05,
853,-9.990692139e-05,
854,-9.990692139e-05,
855,-9.990692139e-05,
856,-9.990692139e-05,
857,-9.990692139e-05,
858,-9.990692139e-05,
859,-0.0001059341431,
860,-0.0001059341431,
861,-0.0001059341431,
862,-0.0001059341431,
863,-0.0001059341431,
864,-0.0001059341431,
865,-0.0001059341431,
866,-0.0001059341431,
867,-0.0001059341431,
868,-0.0001059341431,
869,-0.0001059341431,
870,-0.0001059341431,
871,-0.0001059341431,
872,-9.155273438e-05,
873,-9.155273438e-05,
874,-9.155273438e-05,
875,-9.155273438e-05,
876,-9.155273438e-05,
877,-9.155273438e-05,
878,-9.155273438e-05,
879,-9.155273438e-05,
880,-9.155273438e-05,
881,-9.155273438e-05,
882,-9.155273438e-05,
883,-9.155273438e-05,
884,-9.155273438e-05,
885,-9.540557861e-05,
886,-9.540557861e-05,
887,-9.540557861e-05,
888,-9.540557861e-05,
889,-9.540557861e-05,
890,-9.540557861e-05,
891,-9.540557861e-05,
892,-9.540557861e-05,
893,-9.540557861e-05,
894,-9.540557861e-05,
895,-9.540557861e-05,
896,-9.540557861e-05,
897,-9.540557861e-05,
898,-8.113861084e-05,
899,-8.113861084e-05,
900,-8.113861084e-05,
901,-8.113861084e-05,
902,-8.113861084e-05,
903,-8.113861084e-05,
904,-8.113861084e-05,
905,-8.113861084e-05,
906,-8.113861084e-05,
907,-8.113861084e-05,
908,-8.113861084e-05,
909,-8.113861084e-05,
910,-8.113861084e-05,
911,-7.587432861e-05,
912,-7.587432861e-05,
913,-7.587432861e-05,
914,-7.587432861e-05,
915,-7.587432861e-05,
916,-7.587432861e-05,
917,-7.587432861e-05,
918,-7.587432861e-05,
919,-7.587432861e-05,
920,-7.587432861e-05,
921,-7.587432861e-05,
922,-7.587432861e-05,
923,-7.587432861e-05,
924,-7.587432861e-05,
925,-8.087158203e-05,
926,-8.087158203e-05,
927,-8.087158203e-05,
928,-8.087158203e-05,
929,-8.087158203e-05,
930,-8.087158203e-05,
931,-8.087158203e-05,
932,-8.087158203e-05,
933,-8.087158203e-05,
934,-8.087158203e-05,
935,-8.087158203e-05,
936,-8.087158203e-05,
937,-8.087158203e-05,
938,-7.499694824e-05,
939,-7.499694824e-05,
940,-7.499694824e-05,
941,-7.499694824e-05,
942,-7.499694824e-05,
943,-7.499694824e-05,
944,-7.499694824e-05,
945,-7.499694824e-05,
946,-7.499694824e-05,
947,-7.499694824e-05,
948,-7.499694824e-05,
949,-7.499694824e-05,
950,-7.499694824e-05,
951,-8.224487305e-05,
952,-8.224487305e-05,
953,-8.224487305e-05,
954,-8.224487305e-05,
955,-8.224487305e-05,
956,-8.224487305e-05,
957,-8.224487305e-05,
958,-8.224487305e-05,
959,-8.224487305e-05,
960,-8.224487305e-05,
961,-8.224487305e-05,
962,-8.224487305e-05,
963,-8.224487305e-05,
964,-6.107330322e-05,
965,-6.107330322e-05,
966,-6.107330322e-05,
967,-6.107330322e-05,
968,-6.107330322e-05,
969,-6.107330322e-05,
970,-6.107330322e-05,
971,-6.107330322e-05,
972,-6.107330322e-05,
973,-6.107330322e-05,
974,-6.107330322e-05,
975,-6.107330322e-05,
976,-6.107330322e-05,
977,-6.47354126e-05,
978,-6.47354126e-05,
979,-6.47354126e-05,
980,-6.47354126e-05,
981,-6.47354126e-05,
982,-6.47354126e-05,
983,-6.47354126e-05,
984,-6.47354126e-05,
985,-6.47354126e-05,
986,-6.47354126e-05,
987,-6.47354126e-05,
988,-6.47354126e-05,
989,-6.47354126e-05,
990,-6.576538086e-05,
991,-6.576538086e-05,
992,-6.576538086e-05,
993,-6.576538086e-05,
994,-6.576538086e-05,
995,-6.576538086e-05,
996,-6.576538086e-05,
997,-6.576538086e-05,
998,-6.576538086e-05,
999,-6.576538086e-05,
1000,-6.576538086e-05,
1001,-6.576538086e-05,
1002,-6.576538086e-05,
1003,-6.5574646e-05,
1004,-6.5574646e-05,
1005,-6.5574646e-05,
1006,-6.5574646e-05,
1007,-6.5574646e-05,
1008,-6.5574646e-05,
1009,-6.5574646e-05,
1010,-6.5574646e-05,
1011,-6.5574646e-05,
1012,-6.5574646e-05,
1013,-6.5574646e-05,
1014,-6.5574646e-05,
1015,-6.5574646e-05,
1016,-4.859924316e-05,
1017,-4.859924316e-05,
1018,-4.859924316e-05,
1019,-4.859924316e-05,
1020,-4.859924316e-05,
1021,-4.859924316e-05,
1022,-4.859924316e-05,
1023,-4.859924316e-05,
1024,-4.859924316e-05,
1025,-4.859924316e-05,
1026,-4.859924316e-05,
1027,-4.859924316e-05,
1028,-4.859924316e-05,
1029,-5.977630615e-05,
1030,-5.977630615e-05,
1031,-5.977630615e-05,
1032,-5.977630615e-05,
1033,-5.977630615e-05,
1034,-5.977630615e-05,
1035,-5.977630615e-05,
1036,-5.977630615e-05,
1037,-5.977630615e-05,
1038,-5.977630615e-05,
1039,-5.977630615e-05,
1040,-5.977630615e-05,
1041,-5.977630615e-05,
1042,-5.28717041e-05,
1043,-5.28717041e-05,
1044,-5.28717041e-05,
1045,-5.28717041e-05,
