
#$Filter:none
0.0	0.00012092590332	-2.1728515625e-06	1511953839.7915652	
0.0	0.00012092590332	-2.1728515625e-06	1511953840.2914	
0.0	0.00012092590332	-2.1728515625e-06	1511953840.7913826	
0.0	0.00012092590332	-2.1728515625e-06	1511953841.4324803	
0.0	0.00012092590332	-2.1728515625e-06	1511953841.7913585	
0.0	0.00012092590332	-2.1728515625e-06	1511953842.2913864	
0.0	0.00012092590332	-2.1728515625e-06	1511953842.7913878	
0.0	0.00012092590332	-2.1728515625e-06	1511953843.2914674	
0.0	0.00012092590332	-2.1728515625e-06	1511953843.7913892	
0.0	0.00012092590332	-2.1728515625e-06	1511953844.2914057	
0.0	0.000122940063477	-1.97677612305e-06	1511953844.7913804	
0.0	0.000122940063477	-1.97677612305e-06	1511953845.291744	
0.0	0.000122940063477	-1.97677612305e-06	1511953845.7913759	
-9.0	0.000122940063477	-1.97677612305e-06	1511953846.2914732	
-9.0	0.000122940063477	-1.97677612305e-06	1511953846.7913775	
-9.0	0.000122940063477	-1.97677612305e-06	1511953847.291383	
-62.0	0.000122940063477	-1.97677612305e-06	1511953847.7913868	
-62.0	0.000122940063477	-1.97677612305e-06	1511953848.2914803	
-116.0	0.000122940063477	-1.97677612305e-06	1511953848.7984164	
-116.0	0.000122940063477	-1.97677612305e-06	1511953849.3591623	
-116.0	0.000122940063477	-1.97677612305e-06	1511953849.7913878	
-116.0	0.000122940063477	-1.97677612305e-06	1511953850.291385	
-516.0	0.000122940063477	-1.97677612305e-06	1511953850.8140218	
-516.0	0.000123062133789	-1.95388793945e-06	1511953851.4075391	
-516.0	0.000123062133789	-1.95388793945e-06	1511953851.8070407	
-516.0	0.000123062133789	-1.95388793945e-06	1511953852.3621333	
-516.0	0.000123062133789	-1.95388793945e-06	1511953852.792051	
-516.0	0.000123062133789	-1.95388793945e-06	1511953853.389216	
-516.0	0.000123062133789	-1.95388793945e-06	1511953853.7913861	
-516.0	0.000123062133789	-1.95388793945e-06	1511953854.2915075	
-516.0	0.000123062133789	-1.95388793945e-06	1511953854.7914958	
0.0	0.000123062133789	-1.95388793945e-06	1511953855.2913609	
0.0	0.000123062133789	-1.95388793945e-06	1511953855.7914336	
0.0	0.000123062133789	-1.95388793945e-06	1511953856.2914195	
0.0	0.000123062133789	-1.95388793945e-06	1511953856.791379	
0.0	0.000123062133789	-1.95388793945e-06	1511953857.2914407	
0.0	0.000112411499023	-2.22854614258e-06	1511953857.791376	
0.0	0.000112411499023	-2.22854614258e-06	1511953858.291388	
0.0	0.000112411499023	-2.22854614258e-06	1511953858.79141	
0.0	0.000112411499023	-2.22854614258e-06	1511953859.291361	
0.0	0.000112411499023	-2.22854614258e-06	1511953859.7913775	
0.0	0.000112411499023	-2.22854614258e-06	1511953860.2913642	
0.0	0.000112411499023	-2.22854614258e-06	1511953860.7914414	
0.0	0.000112411499023	-2.22854614258e-06	1511953861.2913969	
0.0	0.000112411499023	-2.22854614258e-06	1511953861.7913995	
0.0	0.000112411499023	-2.22854614258e-06	1511953862.2913826	
0.0	0.000112411499023	-2.22854614258e-06	1511953862.7914183	
0.0	0.000112411499023	-2.22854614258e-06	1511953863.291442	
0.0	0.000112411499023	-2.22854614258e-06	1511953863.7914808	
0.0	0.00012434387207	-2.3551940918e-06	1511953864.2913928	
0.0	0.00012434387207	-2.3551940918e-06	1511953864.7914195	
0.0	0.00012434387207	-2.3551940918e-06	1511953865.291359	
0.0	0.00012434387207	-2.3551940918e-06	1511953865.7913818	
0.0	0.00012434387207	-2.3551940918e-06	1511953866.2913678	
0.0	0.00012434387207	-2.3551940918e-06	1511953866.791376	
0.0	0.00012434387207	-2.3551940918e-06	1511953867.2914104	
0.0	0.00012434387207	-2.3551940918e-06	1511953867.7913914	
